Location,Latitude,Longitude,Depth (m),Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (Oa),Moisture content (%),pH,Soil Type,Fine Soil (%) ,Sand (%),USCS Group Symbol
"Puncak Perda, Selangor",3.135983112,101.4937453,2.5,28,16,56,0,0,0,0.16,0,0,154.4,1538.49,23.29,0,Clayey Sand,0,0,SC
"Puncak Perda, Selangor",3.135983112,101.4937453,3,2,27,53,0,0,0.1,0.21,0,0,983,183.37,21.36,0,Clayey Sand,0,0,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,0.5,48,25.88,26.12,0,0,0,0.1,0,0,43.59,162.49,39.22,3.47,Clayey Sand,31,69,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,1,55,28.52,16.48,0,0,0,0,0,0,26.61,81.37,89.74,0,Clayey Sand,0,0,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,1.5,44,45,11,0,0,0,0.1,0,0,26.16,11.94,122.64,0,Clayey Sand,0,0,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,2,32,17,51,0,0,0,0.7,0,0,31.44,7.1,158.46,0,Clayey Sand,0,0,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,2.5,48,32,2,0,0,0,0.1,0,0,37.93,5.31,147.64,0,Clayey Sand,0,0,SC
"Hutan Melintang, Perak",3.9149813,100.9526214,3,49,39,12,0,0,0.1,0.1,0,0,44.48,4.34,134.3,0,Clayey Sand,0,0,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,0.5,15,29,56,0,0.1,0.14,0.7,583.33,0.23,11.88,5.48,24.13,7.2,Clayey Sand,34,66,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,1,15,37,48,0,0.2,0.3,0.58,32.22,0.9,18.89,1.83,71.93,0,Clayey Sand,0,0,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,1.5,3,55,15,0,0.2,0.4,0.13,86.67,8.21,27.27,0.84,9.87,0,Clayey Sand,0,0,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,2,8,7,22,0,0.2,0.4,0.17,7.8,0.39,35.68,0.72,72.7,0,Clayey Sand,0,0,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,2.5,5,73,22,0,0.3,0.4,0.14,4.67,0.4,43.92,0.54,11.78,0,Clayey Sand,0,0,SC
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,3,2,78,2,0,0.4,0.5,0.13,3.25,0.48,51.94,0.5,38.1,0,Clayey Sand,0,0,SC
"Kg. Morten, Melaka",2.2614349,102.2493845,0.5,14,16,7,0,0.1,0.5,0.9,9,2.78,159,155.2,22.4,5.86,Inorganic Silt,83,17,MH
"Kg. Morten, Melaka",2.2614349,102.2493845,1,17,13,7,0,0,0.5,1.1,0,0,118.9,15.18,74.11,0,Inorganic Silt,0,0,MH
"Kg. Morten, Melaka",2.2614349,102.2493845,1.5,42,42,16,0,0,0,0.7,0,0,134.8,8.21,6.77,0,Inorganic Silt,0,0,MH
"Kg. Morten, Melaka",2.2614349,102.2493845,2,27,33,4,0,0,0.3,0.5,0,0,145.8,4.4,9.68,0,Inorganic Silt,0,0,MH
"Kg. Morten, Melaka",2.2614349,102.2493845,2.5,4,43,17,0,0,0,0.8,0,0,152.9,2.5,96.82,0,Inorganic Silt,0,0,MH
"Kg. Morten, Melaka",2.2614349,102.2493845,3,55,35,1,0,0,0,0.3,0,0,157.8,2.2,1.43,0,Inorganic Silt,0,0,MH
"Kuala Perlis, Perlis",6.43749782,100.1469191,0.5,37,33,3,0,0,0,0.18,0,0,5.51,4.14,11.21,6.89,Clayey Sand,18,82,SC
"Kuala Perlis, Perlis",6.43749782,100.1469191,1,42,38,2,0,0,0,0.16,0,0,9.66,0.89,71.52,0,Clayey Sand,0,0,SC
"Kuala Perlis, Perlis",6.43749782,100.1469191,1.5,34,36,3,0,0,0,0.28,0,0,13.73,1.38,78.56,0,Clayey Sand,0,0,SC
"Kuala Perlis, Perlis",6.43749782,100.1469191,2,38,33,29,0,0,0,0.2,0,0,17.53,0.45,116.17,0,Clayey Sand,0,0,SC
"Kuala Perlis, Perlis",6.43749782,100.1469191,2.5,37,35,28,0,0,0,0.26,0,0,21.8,0.48,76.97,0,Clayey Sand,0,0,SC
"Kuala Perlis, Perlis",6.43749782,100.1469191,3,33,37,3,0,0,0,0.36,0,0,24.39,0.44,86.3,0,Clayey Sand,0,0,SC
